param 	 fb_lin 	 fb_quad 	 pend1 (rad) 	 pend2 (rad) 	 pend3 (rad) 	 pend4 (rad) 	 pend5 (rad) 	 pend6 (rad) 	 pend7 (rad) 	 pend8 (rad) 	 pend9 (rad) 
0.0000000000	0.0000000000	0.0000000000	0.0567268315	0.0430561476	0.0322872917	0.0293249363	0.0281407806	0.0192099532	0.0121332159	0.0092558964	0.0051085333
4000.0000000000	0.1525402666	0.1955862376	0.0563135508	0.0427247862	0.0323417445	0.0295829382	0.0287293636	0.0295107297	0.0306829088	0.0377679765	0.0453876155
4444.0000000000	0.1372999699	0.1720672684	0.0560299603	0.0425484600	0.0321628574	0.0294921072	0.0287006320	0.0275281758	0.0259974182	0.0288673378	0.0287351142
5000.0000000000	0.1220322133	0.1493914158	0.0561428196	0.0426443009	0.0322283274	0.0294976468	0.0286072235	0.0262239264	0.0233170988	0.0241985988	0.0215385450
5714.0000000000	0.1067835258	0.1276285153	0.0558662266	0.0424198798	0.0320733753	0.0294846172	0.0286088159	0.0252363160	0.0213826014	0.0209408666	0.0173570176
6666.0000000000	0.0915333133	0.1067476485	0.0559111561	0.0423894712	0.0320722281	0.0294666967	0.0285365572	0.0242346645	0.0194519115	0.0179669267	0.0141491743
8000.0000000000	0.0762701333	0.0867344090	0.0559237298	0.0422733446	0.0320545991	0.0293716633	0.0284713734	0.0234288555	0.0182477672	0.0161378087	0.0122191426
10000.0000000000	0.0610161066	0.0676181336	0.0560236880	0.0424529377	0.0320768572	0.0293351416	0.0286128653	0.0226421297	0.0171291075	0.0143808434	0.0105584285
13333.0000000000	0.0457632241	0.0493878892	0.0557387334	0.0422667504	0.0319294684	0.0292810226	0.0284218956	0.0219354859	0.0159007898	0.0129008465	0.0089600604
20000.0000000000	0.0305080533	0.0320396732	0.0558769986	0.0423724372	0.0319960429	0.0292368896	0.0284967621	0.0211739801	0.0149668001	0.0116917096	0.0078937282
40000.0000000000	0.0152540267	0.0155774882	0.0558627376	0.0423952740	0.0319877704	0.0292686315	0.0283738081	0.0206977533	0.0141500115	0.0108661518	0.0070360688
