param 	 fb_lin 	 fb_quad 	 pend1 (rad) 	 pend2 (rad) 	 pend3 (rad) 	 pend4 (rad) 	 pend5 (rad) 	 pend6 (rad) 	 pend7 (rad) 	 pend8 (rad) 	 pend9 (rad) 
0.0000000000	0.0000000000	0.0000000000	0.0600321718	0.0423848482	0.0312489149	0.0285097702	0.0281475064	0.0191805614	0.0122198041	0.0081680374	0.0049634886
4000.0000000000	0.1525402666	0.1955862376	0.0094024180	0.0113485045	0.0125809225	0.0190792397	0.0277502887	0.0190247331	0.0122597058	0.0087478028	0.0051830695
4444.0000000000	0.1372999699	0.1720672684	0.0113234322	0.0128587591	0.0139510023	0.0199202805	0.0278663608	0.0189789815	0.0123879870	0.0086770754	0.0053193785
5000.0000000000	0.1220322133	0.1493914158	0.0125227359	0.0137776919	0.0145949909	0.0205486412	0.0277306629	0.0191145063	0.0121937455	0.0087273846	0.0051703235
5714.0000000000	0.1067835258	0.1276285153	0.0173933180	0.0171946393	0.0172064325	0.0217169810	0.0287457313	0.0187617839	0.0125283499	0.0084450373	0.0053946384
6666.0000000000	0.0915333133	0.1067476485	0.0208279269	0.0200404209	0.0188985375	0.0229006357	0.0285680526	0.0189871623	0.0123843158	0.0087090844	0.0052704056
8000.0000000000	0.0762701333	0.0867344090	0.0247968826	0.0225869354	0.0208386018	0.0237014103	0.0287616754	0.0187949505	0.0125560968	0.0085231705	0.0054180792
10000.0000000000	0.0610161066	0.0676181336	0.0308743615	0.0272515830	0.0236065258	0.0256458508	0.0283805483	0.0192746417	0.0122513302	0.0088742891	0.0051870668
13333.0000000000	0.0457632241	0.0493878892	0.0360111642	0.0302888836	0.0255988072	0.0261750926	0.0287213978	0.0189709760	0.0125465694	0.0087010344	0.0054423947
20000.0000000000	0.0305080533	0.0320396732	0.0428685050	0.0349713366	0.0280663177	0.0276512076	0.0284412893	0.0193351011	0.0122972302	0.0089204621	0.0052551066
40000.0000000000	0.0152540267	0.0155774882	0.0494165511	0.0391532868	0.0305459586	0.0287776177	0.0284697166	0.0193557163	0.0123446873	0.0090244567	0.0053555012
