param 	 fb_lin 	 fb_quad 	 pend1 (rad) 	 pend2 (rad) 	 pend3 (rad) 	 pend4 (rad) 	 pend5 (rad) 	 pend6 (rad) 	 pend7 (rad) 	 pend8 (rad) 	 pend9 (rad) 
0.0000000000	0.0000000000	0.0000000000	0.0600321718	0.0423848482	0.0312489149	0.0285097702	0.0281475064	0.0191805614	0.0122198041	0.0081680374	0.0049634886
4000.0000000000	0.1525402666	0.1955862376	0.0080493711	0.0103257656	0.0117372273	0.0186829507	0.0286620629	0.0285546408	0.0310052615	0.0403483061	0.0587771860
4444.0000000000	0.1372999699	0.1720672684	0.0105024332	0.0122452236	0.0135797104	0.0200679919	0.0281356187	0.0277823578	0.0281024321	0.0325823935	0.0354189359
5000.0000000000	0.1220322133	0.1493914158	0.0146078950	0.0155057798	0.0162025344	0.0214360920	0.0284193678	0.0259284286	0.0245534345	0.0256608800	0.0240465189
5714.0000000000	0.1067835258	0.1276285153	0.0172270233	0.0177117075	0.0176933633	0.0224641810	0.0283458750	0.0249152439	0.0222691928	0.0218221084	0.0186463907
6666.0000000000	0.0915333133	0.1067476485	0.0201807570	0.0199751855	0.0191422299	0.0233954104	0.0282068902	0.0241872516	0.0205850688	0.0193731658	0.0154675077
8000.0000000000	0.0762701333	0.0867344090	0.0249316114	0.0235528447	0.0215284736	0.0246442483	0.0282358704	0.0233792529	0.0190915700	0.0172001500	0.0130825859
10000.0000000000	0.0610161066	0.0676181336	0.0306522415	0.0276764821	0.0242941829	0.0260503935	0.0282512165	0.0226606342	0.0177913952	0.0154389010	0.0112188989
13333.0000000000	0.0457632241	0.0493878892	0.0371084666	0.0322608707	0.0271785857	0.0273773424	0.0282896843	0.0219888960	0.0167245826	0.0139670649	0.0098748492
20000.0000000000	0.0305080533	0.0320396732	0.0436839138	0.0362666109	0.0293172354	0.0285744179	0.0280940901	0.0214420384	0.0155957007	0.0130536960	0.0085313747
40000.0000000000	0.0152540267	0.0155774882	0.0494731355	0.0398317327	0.0313468915	0.0293978811	0.0281816916	0.0208701392	0.0146744569	0.0117391874	0.0074530420
