kfb,lambda1,lambda2,omega
0,0,-4.84066953062,-4.84066953062,13.6514328931
0,40000,-6.74732869671,-6.74732869671,11.7537156709
0,20000,-7.02869753698,-7.02869753698,-9.21651096048
0,13333,-5.91875341802,-5.91875341802,-7.55914248771
0,10000,-4.72238192795,-4.72238192795,6.59269876736
0,8000,-3.66492263344,-3.66492263344,-6.98257105208
0,6666,-36.1542491049,-36.1542491049,-7.44096802335
0,5714,-0.000130763930098,34.7691801135,1e-05
0,5000,-1.47779729299,41.8657979904,1e-05
0,4444,-0.915528543325,36.4712367993,1e-05
0,4000,-0.593812071714,56.4963811967,1e-05
