k,fb,lambda1,lambda2,omega
1.5707963267948966,0,-4.2256671689,-4.12844580104,95.3704036304
1.5707963267948966,40000,-5.16029892717,-5.06723014168,94.739526429
1.5707963267948966,20000,-8.1210880629,-8.1210880629,100.320986765
1.5707963267948966,13333,-9.78672658961,-9.78672658961,94.3377055413
1.5707963267948966,10000,-10.3710659374,-10.3710659374,89.5527292753
1.5707963267948966,8000,-8.23681311706,-8.23681311706,90.8131066386
1.5707963267948966,6666,-7.94922329108,-7.94922329108,84.2562112426
1.5707963267948966,5714,-7.10518544876,-7.10518544876,94.733666788
1.5707963267948966,5000,-7.08704625535,-7.08704625535,87.8234376273
1.5707963267948966,4444,-7.3829563456,-7.3829563456,80.0116501968
1.5707963267948966,4000,-7.22763335134,-7.22763335134,86.8051413078
